Started at: Thu Oct 30 04:32:23 PM SAST 2025
LETS COOOK IT UPPP

======================================================================
NO EXISTING MODEL FOUND - STARTING FRESH TRAINING
======================================================================

Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Wrapping the env in a VecTransposeImage.

======================================================================
STARTING NEW TRAINING
Target total: 1,000,000 steps
======================================================================

Logging to ./PPO_crafter_tensorboard/PPO_14
---------------------------------
| rollout/           |          |
|    ep_rew_mean          | 3.34       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 401        |
|    time_elapsed         | 8564       |
|    total_timesteps      | 821248     |
| train/                  |            |
|    approx_kl            | 0.13413855 |
|    clip_fraction        | 0.618      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.768      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.141     |
|    n_updates            | 4000       |
|    policy_gradient_loss | -0.0916    |
|    value_loss           | 0.0578     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 3.39       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 402        |
|    time_elapsed         | 8586       |
|    total_timesteps      | 823296     |
| train/                  |            |
|    approx_kl            | 0.11704725 |
|    clip_fraction        | 0.587      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.82       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.145     |
|    n_updates            | 4010       |
|    policy_gradient_loss | -0.0949    |
|    value_loss           | 0.062      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 3.45       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 403        |
|    time_elapsed         | 8608       |
|    total_timesteps      | 825344     |
| train/                  |            |
|    approx_kl            | 0.11108396 |
|    clip_fraction        | 0.581      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.19      |
|    explained_variance   | 0.786      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.125     |
|    n_updates            | 4020       |
|    policy_gradient_loss | -0.0924    |
|    value_loss           | 0.0616     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 3.41       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 404        |
|    time_elapsed         | 8628       |
|    total_timesteps      | 827392     |
| train/                  |            |
|    approx_kl            | 0.11477943 |
|    clip_fraction        | 0.583      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.25      |
|    explained_variance   | 0.763      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.129     |
|    n_updates            | 4030       |
|    policy_gradient_loss | -0.096     |
|    value_loss           | 0.0558     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 173        |
|    ep_rew_mean          | 3.41       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 405        |
|    time_elapsed         | 8650       |
|    total_timesteps      | 829440     |
| train/                  |            |
|    approx_kl            | 0.12007286 |
|    clip_fraction        | 0.581      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.22      |
|    explained_variance   | 0.783      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.15      |
|    n_updates            | 4040       |
|    policy_gradient_loss | -0.0952    |
|    value_loss           | 0.0518     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 171        |
|    ep_rew_mean          | 3.46       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 406        |
|    time_elapsed         | 8671       |
|    total_timesteps      | 831488     |
| train/                  |            |
|    approx_kl            | 0.12394363 |
|    clip_fraction        | 0.592      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.21      |
|    explained_variance   | 0.757      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.146     |
|    n_updates            | 4050       |
|    policy_gradient_loss | -0.0957    |
|    value_loss           | 0.0626     |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 171       |
|    ep_rew_mean          | 3.49      |
| time/                   |           |
|    fps                  | 95        |
|    iterations           | 407       |
|    time_elapsed         | 8693      |
|    total_timesteps      | 833536    |
